,name,region,life_expectancy
172,Puerto Rico,Caribbean,75.6
173,North Korea,Eastern Asia,70.7
174,Portugal,Southern Europe,75.8
175,Paraguay,South America,73.7
176,Palestine,Middle East,71.4
177,French Polynesia,Polynesia,74.8
178,Qatar,Middle East,72.4
179,Reunion,Eastern Africa,72.7
180,Romania,Eastern Europe,69.9
181,Russian Federation,Eastern Europe,67.2
182,Rwanda,Eastern Africa,39.3
183,Saudi Arabia,Middle East,67.8
184,Sudan,Northern Africa,56.6
185,Senegal,Western Africa,62.2
186,Singapore,Southeast Asia,80.1
187,South Georgia and the South Sandwich Islands,Antarctica,
188,Saint Helena,Western Africa,76.8
189,Svalbard and Jan Mayen,Nordic Countries,
190,Solomon Islands,Melanesia,71.3
191,Sierra Leone,Western Africa,45.3
192,El Salvador,Central America,69.7
193,San Marino,Southern Europe,81.1
194,Somalia,Eastern Africa,46.2
195,Saint Pierre and Miquelon,North America,77.6
196,Sao Tome and Principe,Central Africa,65.3
197,Suriname,South America,71.4
198,Slovakia,Eastern Europe,73.7
199,Slovenia,Southern Europe,74.9
200,Sweden,Nordic Countries,79.6
201,Swaziland,Southern Africa,40.4
202,Seychelles,Eastern Africa,70.4
203,Syria,Middle East,68.5
204,Turks and Caicos Islands,Caribbean,73.3
205,Chad,Central Africa,50.5
206,Togo,Western Africa,54.7
207,Thailand,Southeast Asia,68.6
208,Tajikistan,Southern and Central Asia,64.1
209,Tokelau,Polynesia,
210,Turkmenistan,Southern and Central Asia,60.9
211,East Timor,Southeast Asia,46.0
212,Tonga,Polynesia,67.9
213,Trinidad and Tobago,Caribbean,68.0
214,Tunisia,Northern Africa,73.7
215,Turkey,Middle East,71.0
216,Tuvalu,Polynesia,66.3
217,Taiwan,Eastern Asia,76.4
218,Tanzania,Eastern Africa,52.3
219,uganda,Eastern Africa,42.9
220,ukraine,Eastern Europe,66.0
221,united States Minor Outlying Islands,Micronesia/Caribbean,
222,uruguay,South America,75.2
223,united States,North America,77.1
224,uzbekistan,Southern and Central Asia,63.7
225,Holy See (Vatican City State),Southern Europe,
226,Saint Vincent and the Grenadines,Caribbean,72.3
227,Venezuela,South America,73.1
228,"Virgin Islands, British",Caribbean,75.4
229,"Virgin Islands, u.S.",Caribbean,78.1
230,Vietnam,Southeast Asia,69.3
231,Vanuatu,Melanesia,60.6
232,Wallis and Futuna,Polynesia,
233,Samoa,Polynesia,69.2
234,Yemen,Middle East,59.8
235,Yugoslavia,Southern Europe,72.4
236,South Africa,Southern Africa,51.1
237,Zambia,Eastern Africa,37.2
238,Zimbabwe,Eastern Africa,37.8
